Kodu ;Dersin Adý ;Name;T ;U;L;K;AKTS;Dönem;Grubu;Ön Koþul
ATÝ101;Atatürk Ýlkeleri ve Ýnkýlap Tarihi I;Principles of Ataturk And History of Revolution I;2;0;0;2;2;1;Z;
BÝL101;Bilgisayar Mühendisliðine Giriþ;Introduction To Computer Engineering;3;0;0;3;5;1;Z;
BÝL103;Programlamaya Giriþ   I;Introduction To Programming I;2;0;2;3;5;1;Z;
BÝL123;Ayrýk Matematik;Discrete Mathematics;3;1;0;4;5;1;Z;
TBFÝZ121;Fizik 1;Physics-I;3;0;2;4;6;1;Z;
TBMAT111;Matematik 1;Mathematics-I;2;2;0;3;5;1;Z;
YD113;Yabancý Dil I;Foreign Language I;1;2;0;2;2;1;Z;
ATÝ102;Atatürk Ýlkeleri ve Ýnkýlap Tarihi II;Principles of Ataturk And History of Revolution II;2;0;0;2;2;2;Z;
BÝL104;Programlamaya Giriþ   II;Introduction To Programming II;2;0;2;3;5;2;Z;
BÝL108;Elektrik Devreleri ve Elektronik;Electric Circuits And Electronics;3;0;2;4;5;2;Z;
BÝL124;Olasýlýk ve Ýstatistiðe Giriþ;Introduction to Probability and Statistics;3;0;0;3;5;2;Z;TBFIZ121, TBFÝZ115
TBFÝZ122;Fizik 2;Physics-II;3;0;2;4;6;2;Z;TBMAT111, TBMAT101
TBMAT112;Matematik 2;Mathematics-II;2;2;0;3;5;2;Z;BIL103
YD114;Yabancý Dil II;Foreign Language II;1;2;0;2;2;2;Z;
BÝL235;Java   I (TS 1);Java-I (TE 1);2;1;0;3;4;3;BÝLSEÇ-1;BÝL104
BÝL237;Ýleri Programlama (TS1);Advanced Programming (TE1);2;1;0;3;4;3;BÝLSEÇ-1;BÝL104
BÝLSEÇ-1;TEKNÝK SEÇMELÝ DERS 1;TECHNICAL ELECTIVE COURSE 1;2;1;0;3;4;3;G;
BÝL203;Veri Yapýlarý;Data Structures;3;0;0;3;5;3;Z;BÝL104
BÝL215;Sayýsal Devreler ve Mantýksal Tasarým;Digital Design And Logic Circuits;3;0;2;4;5;3;Z;
BÝL225;Doðrusal Cebir;Linear Algebra;3;1;0;4;4;3;Z;TBMAT112, TBMAT102
BÝL227;Diferansiyel Denklemler;Differential Equations;3;1;0;4;4;3;Z;TBMAT112, TBMAT102
ÝSG101;Ýþ Saðlýðý ve Güvenliði I;Occupational Health and Safety I;2;0;0;2;2;3;Z;
TDÝ101;Türk Dili I;Turkish Language I;2;0;0;2;2;3;Z;
YDÝ213;Ýleri Ýngilizce I;Advanced English I;2;2;0;3;4;3;Z;
BÝL242; Java   II (TS2);Java-II (TE2);2;1;0;3;4;4;BÝLSEÇ-2;BÝL104
BÝL244; Çizge Kuramý (TS2);Graph Theory (TE2);2;1;0;3;4;4;BÝLSEÇ-2;BÝL104
BÝLSEÇ-2;TEKNÝK SEÇMELÝ DERS 2;TECHNICAL ELECTIVE COURSE 2;2;1;0;3;4;4;G;
BÝL204;Algoritmalar;Algorithms;3;0;0;3;6;4;Z;BÝL203
BÝL212;Nesneye Yönelik Programlama;Object Oriented Programming;2;2;0;3;6;4;Z;BÝL104
BÝL214;Sayýsal Çözümleme;Numerical Analysis;3;1;0;4;6;4;Z;TBMAT112, TBMAT102
ÝSG102;Ýþ Saðlýðý ve Güvenliði II;Occupational Health and Safety II;2;0;0;2;2;4;Z;
TDÝ102;Türk Dili II;Turkish Language II;2;0;0;2;2;4;Z;
YDÝ214;Ýleri Ýngilizce II;Advanced English II;2;2;0;3;4;4;Z;
BÝL321;Web Teknolojileri (TS 4);Web Technologies (TE4);3;0;0;3;5;5;BÝLSEÇ-4;
